SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2024-01-01,37,2024-01-01T18:00:00Z,2024-01-01T18:52:14Z,90.750000000000000000,90.750000000000000000,False,P,0.000000000000000000,36.734300000000000000,0.00,0.00,,,480.500000000000000000,-443.899000000000000000,0.000000000000000000,0.000000000000000000,479.500000000000000000,-443.899000000000000000,0.000000000000000000,0.000000000000000000
2024-01-01,38,2024-01-01T18:30:00Z,2024-01-01T19:22:44Z,15.210000000000000000,15.210000000000000000,False,N,0.000000000000000000,-217.132220000000000000,0.00,0.00,,,480.511100000000000000,-697.715500000000000000,0.000000000000000000,0.000000000000000000,480.511100000000000000,-696.715500000000000000,0.000000000000000000,0.000000000000000000
2024-01-01,39,2024-01-01T19:00:00Z,2024-01-01T19:52:28Z,35.000000000000000000,35.000000000000000000,False,N,0.000000000000000000,-114.377510000000000000,0.00,0.00,,,612.300500000000000000,-726.828500000000000000,0.000000000000000000,0.000000000000000000,612.300500000000000000,-725.828500000000000000,0.000000000000000000,0.000000000000000000
2024-01-01,40,2024-01-01T19:30:00Z,2024-01-01T20:22:31Z,10.500000000000000000,10.500000000000000000,False,N,0.000000000000000000,-387.805700000000000000,0.00,0.00,,,507.008400000000000000,-874.549100000000000000,-20.240000000000000000,0.000000000000000000,507.008400000000000000,-873.549130000000000000,-20.240000000000000000,0.000000000000000000
2024-01-01,41,2024-01-01T20:00:00Z,2024-01-01T20:52:44Z,10.000000000000000000,10.000000000000000000,False,N,0.000000000000000000,-352.443880000000000000,0.00,0.00,,,512.862700000000000000,-845.024500000000000000,-20.240000000000000000,0.000000000000000000,512.862700000000000000,-844.024500000000000000,-20.240000000000000000,0.000000000000000000
2024-01-01,42,2024-01-01T20:30:00Z,2024-01-01T21:22:42Z,10.000000000000000000,10.000000000000000000,False,N,,-583.916300000000000000,0.00,0.00,,,582.486900000000000000,-1146.179900000000000000,-20.240000000000000000,0.000000000000000000,582.486900000000000000,-1145.179900000000000000,-20.240000000000000000,0.000000000000000000
2024-01-01,43,2024-01-01T21:00:00Z,2024-01-01T21:52:24Z,10.000000000000000000,10.000000000000000000,False,N,,-546.504100000000000000,0.00,0.00,,,621.131300000000000000,-897.478600000000000000,-270.240000000000000000,0.000000000000000000,621.131300000000000000,-896.478600000000000000,-270.240000000000000000,0.000000000000000000
2024-01-01,44,2024-01-01T21:30:00Z,2024-01-01T22:22:16Z,0.000000000000000000,0.000000000000000000,False,N,,-412.655580000000000000,0.00,0.00,,,685.503800000000000000,-827.928100000000000000,-270.240000000000000000,0.000000000000000000,685.503800000000000000,-826.928100000000000000,-270.240000000000000000,0.000000000000000000
2024-01-01,45,2024-01-01T22:00:00Z,2024-01-01T22:52:19Z,-10.000000000000000000,-10.000000000000000000,False,N,,-668.180500000000000000,0.00,0.00,,,734.993800000000000000,-882.986000000000000000,-520.240000000000000000,0.000000000000000000,734.993800000000000000,-881.986000000000000000,-520.240000000000000000,0.000000000000000000
2024-01-01,46,2024-01-01T22:30:00Z,2024-01-01T23:22:29Z,-25.000000000000000000,-25.000000000000000000,False,N,,-836.323400000000000000,0.00,0.00,,,744.208300000000000000,-1060.304200000000000000,-520.240000000000000000,0.000000000000000000,744.208300000000000000,-1059.304200000000000000,-520.240000000000000000,0.000000000000000000
2024-01-01,47,2024-01-01T23:00:00Z,2024-01-01T23:52:20Z,-8.150000000000000000,-8.150000000000000000,False,N,,-841.229900000000000000,0.00,0.00,,,811.409300000000000000,-697.556500000000000000,-1170.240000000000000000,215.000000000000000000,811.409300000000000000,-697.556500000000000000,-1169.240000000000000000,215.000000000000000000
2024-01-01,48,2024-01-01T23:30:00Z,2024-01-02T00:22:39Z,-16.860000000000000000,-16.860000000000000000,False,N,,-1074.615700000000000000,0.00,0.00,,,874.900000000000000000,-994.284000000000000000,-1170.240000000000000000,215.000000000000000000,874.900000000000000000,-994.284000000000000000,-1169.240000000000000000,215.000000000000000000
2024-01-02,1,2024-01-02T00:00:00Z,2024-01-02T00:52:15Z,-46.320000000000000000,-46.320000000000000000,False,N,,-602.657000000000000000,0.00,0.00,,,875.000000000000000000,-995.417000000000000000,-997.240000000000000000,515.000000000000000000,875.000000000000000000,-995.417000000000000000,-996.240000000000000000,515.000000000000000000
2024-01-02,2,2024-01-02T00:30:00Z,2024-01-02T01:22:26Z,-44.760000000000000000,-44.760000000000000000,False,N,,-552.962800000000000000,0.00,0.00,,,899.007700000000000000,-969.730500000000000000,-997.240000000000000000,515.000000000000000000,899.007700000000000000,-969.730500000000000000,-996.240000000000000000,515.000000000000000000
2024-01-02,3,2024-01-02T01:00:00Z,2024-01-02T01:52:14Z,-31.000000000000000000,-31.000000000000000000,False,N,,-323.011720000000000000,0.00,0.00,,,1386.498700000000000000,-842.247500000000000000,-1382.240000000000000000,515.000000000000000000,1386.498700000000000000,-841.247500000000000000,-1382.240000000000000000,515.000000000000000000
