SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2024-06-10,31,2024-06-10T14:00:00Z,2024-06-11T14:44:21Z,88.500000000000000000,88.500000000000000000,False,P,0.000000000000000000,35.976548220298219860,0.00,0.00,,,886.020498649557453064,-700.102283762592605854,-150.000000000000000000,0.000000000000000000,885.020498649557453064,-700.102283762592605854,-150.000000000000000000,
2024-06-10,32,2024-06-10T14:30:00Z,2024-06-11T15:14:19Z,88.500000000000000000,88.500000000000000000,False,P,0.000000000000000000,224.800340532844131758,0.00,0.00,,,1180.665333032844046102,-805.945971323742924142,-150.000000000000000000,0.000000000000000000,1179.665333032844046102,-805.945971323742924142,-150.000000000000000000,
2024-06-10,33,2024-06-10T15:00:00Z,2024-06-11T15:44:21Z,88.500000000000000000,88.500000000000000000,False,P,0.000000000000000000,105.774749027777772881,0.00,0.00,,,1210.259274999999888678,-879.545397083333341470,-225.000000000000000000,0.000000000000000000,1209.259274999999888678,-879.545397083333341470,-225.000000000000000000,
2024-06-10,34,2024-06-10T15:30:00Z,2024-06-11T16:14:18Z,0.458231547413793128,0.458231547413793128,False,N,0.000000000000000000,-188.817849113939843164,0.00,0.00,,,987.984626174660434117,-951.747342001870833883,-225.000000000000000000,0.000000000000000000,987.984626174660434117,-950.747342001870833883,-225.000000000000000000,
2024-06-10,35,2024-06-10T16:00:00Z,2024-06-11T16:44:21Z,4.160000000000000142,4.160000000000000142,False,N,0.000000000000000000,-51.482600402298849929,0.00,0.00,,,999.766473671775202092,-901.342112241379254556,-150.000000000000000000,0.000000000000000000,999.766473671775202092,-901.342112241379254556,-149.000000000000000000,
2024-06-10,36,2024-06-10T16:30:00Z,2024-06-11T17:14:20Z,4.160000000000000142,4.160000000000000142,False,N,0.000000000000000000,-94.649952923976613306,0.00,0.00,,,964.941713742690012623,-909.578624074074127748,-150.000000000000000000,0.000000000000000000,964.941713742690012623,-909.578624074074127748,-149.000000000000000000,
2024-06-10,37,2024-06-10T17:00:00Z,2024-06-11T17:44:20Z,108.000000000000000000,108.000000000000000000,False,P,0.000000000000000000,188.990273479532163492,0.00,0.00,,,1417.306940146198940056,-1128.150056269841343237,-100.000000000000000000,0.000000000000000000,1416.306940146198940056,-1128.150056269841343237,-100.000000000000000000,
2024-06-10,38,2024-06-10T17:30:00Z,2024-06-11T18:14:22Z,108.000000000000000000,108.000000000000000000,False,P,0.000000000000000000,194.803833333333329847,0.00,0.00,,,1399.275000000000090949,-1166.007407407407299615,-100.000000000000000000,61.682999999999999829,1398.275000000000090949,-1166.007407407407299615,-100.000000000000000000,61.682999999999999829
2024-06-10,39,2024-06-10T18:00:00Z,2024-06-11T18:44:23Z,108.000000000000000000,108.000000000000000000,False,P,0.000000000000000000,143.173031481481473293,0.00,0.00,,,1416.257938148148241453,-1280.392857407407518622,-50.000000000000000000,57.442000000000000171,1415.257938148148241453,-1280.392857407407518622,-50.000000000000000000,57.442000000000000171
2024-06-10,40,2024-06-10T18:30:00Z,2024-06-11T19:14:21Z,112.000000000000000000,112.000000000000000000,False,P,0.000000000000000000,516.656749999999988177,0.00,0.00,,,1501.966597222222162600,-1179.497777777777855590,-50.000000000000000000,244.323000000000007503,1500.966597222222162600,-1179.497777777777855590,-50.000000000000000000,244.323000000000007503
