SettlementDate,SettlementPeriod,StartTime,CreatedDateTime,SystemSellPrice,SystemBuyPrice,BsadDefaulted,PriceDerivationCode,ReserveScarcityPrice,NetImbalanceVolume,SellPriceAdjustment,BuyPriceAdjustment,ReplacementPrice,ReplacementPriceReferenceVolume,TotalAcceptedOfferVolume,TotalAcceptedBidVolume,TotalAdjustmentSellVolume,TotalAdjustmentBuyVolume,TotalSystemTaggedAcceptedOfferVolume,TotalSystemTaggedAcceptedBidVolume,TotalSystemTaggedAdjustmentSellVolume,TotalSystemTaggedAdjustmentBuyVolume
2024-06-04,18,2024-06-04T07:30:00Z,2024-06-05T08:14:38Z,54.000000000000000000,54.000000000000000000,False,N,0.000000000000000000,-36.885547201336677858,0.00,0.00,54.000000000000000000,1.000000000000000000,1889.105008354218853128,-2000.990555555555602041,0.000000000000000000,75.000000000000000000,1889.105008354218853128,-1999.990555555555602041,,75.000000000000000000
2024-06-04,19,2024-06-04T08:00:00Z,2024-06-05T08:44:40Z,97.900000000000005684,97.900000000000005684,False,P,0.000000000000000000,29.565300369547433235,0.00,0.00,,,1873.441739633702809442,-1843.998454206885071471,0.000000000000000000,0.000000000000000000,1872.441739633702809442,-1843.998454206885071471,,
2024-06-04,20,2024-06-04T08:30:00Z,2024-06-05T09:14:38Z,97.900000000000005684,97.900000000000005684,False,P,0.000000000000000000,292.812317078346495691,0.00,0.00,,,1879.633099906629240650,-1587.069592352092286092,0.000000000000000000,0.000000000000000000,1878.633099906629240650,-1587.069592352092286092,,
2024-06-04,21,2024-06-04T09:00:00Z,2024-06-05T09:44:34Z,99.000000000000000000,99.000000000000000000,False,P,0.000000000000000000,531.384403040701158716,0.00,0.00,,,1919.240842434640626379,-1387.807004050802106576,0.000000000000000000,0.000000000000000000,1918.240842434640626379,-1387.807004050802106576,,
2024-06-04,22,2024-06-04T09:30:00Z,2024-06-05T10:14:40Z,99.599999999999994316,99.599999999999994316,False,P,0.000000000000000000,576.019449918385703313,0.00,0.00,,,1762.854211823147579707,-1186.626436776556829500,0.000000000000000000,0.000000000000000000,1761.854211823147579707,-1186.626436776556829500,,
2024-06-04,23,2024-06-04T10:00:00Z,2024-06-05T10:44:43Z,97.900000000000005684,97.900000000000005684,False,P,0.000000000000000000,85.080056172606632003,0.00,0.00,,,1241.756315048869282691,-1173.774547040513880347,0.000000000000000000,16.682999999999999829,1240.756315048869282691,-1173.774547040513880347,,16.682999999999999829
2024-06-04,24,2024-06-04T10:30:00Z,2024-06-05T11:14:34Z,0.000000000000000000,0.000000000000000000,False,N,0.000000000000000000,-215.462129975845414265,0.00,0.00,,,1013.553526111111068531,-1301.137476044221557459,0.000000000000000000,72.117000000000004434,1013.553526111111068531,-1300.137476044221557459,,72.117000000000004434
2024-06-04,25,2024-06-04T11:00:00Z,2024-06-05T11:44:39Z,2.000000000000000000,2.000000000000000000,False,N,0.000000000000000000,-181.996282608695651106,0.00,0.00,,,936.587499999999977263,-1179.784782608695650197,0.000000000000000000,61.201000000000000512,936.587499999999977263,-1178.784782608695650197,,61.201000000000000512
2024-06-04,26,2024-06-04T11:30:00Z,2024-06-05T12:14:34Z,5.527666778186591579,5.527666778186591579,False,N,0.000000000000000000,-24.278636414141413269,0.00,0.00,,,866.133030252525259129,-901.770694444444416149,0.000000000000000000,11.250000000000000000,866.133030252525259129,-900.770694444444416149,,11.250000000000000000
2024-06-04,27,2024-06-04T12:00:00Z,2024-06-05T12:44:33Z,2.000000000000000000,2.000000000000000000,False,N,0.000000000000000000,-101.480413303624473542,0.00,0.00,,,829.636201810754641883,-931.116615114379101215,0.000000000000000000,0.000000000000000000,829.636201810754641883,-930.116615114379101215,,
